,province,modelcode,modelname,modeldefine
213,重庆,06,货车2型车,2-5吨(含5吨)
214,重庆,07,货车3型车,5-10吨(含10吨)
215,重庆,08,货车4型车,10-20吨(含20吨)
216,重庆,09,货车5型车,20-40吨(含40吨)
217,四川,01,客车1型车,一型车7座以下（含7座）
218,四川,02,客车2型车,二型车8-19座
219,四川,03,客车3型车,三型车20-39座
220,四川,04,客车4型车,四型车40座以上（含40座）
221,四川,05,客车5型车,none
222,四川,06,货车1型车,2吨以下（含2吨）
223,四川,07,货车2型车,2吨－5吨（含5吨）
224,四川,08,货车3型车,5吨－10吨（含10吨）
225,四川,09,货车4型车,10吨－15吨（含15吨）
226,四川,10,货车5型车,15t以上
227,贵州,01,客车1型车,"(7座以下,含7座)"
228,贵州,02,客车2型车,(8-19座)
229,贵州,03,客车3型车,客(20-39座)
230,贵州,04,客车4型车,"(40座以上,含40座)"
231,贵州,05,货车11型车,(2吨以下   含2吨)
232,贵州,06,货车12型车,(2吨-5吨   含5吨)
233,贵州,07,货车13型车,(5吨-10吨  含10吨)
234,贵州,08,货车14型车,(10吨-15吨 含15吨)
235,贵州,09,货车15型车,(15吨以上)
236,云南,01,客车1型车,(7座以下,含7座)
237,云南,02,客车2型车,(8-19座)
238,云南,03,客车3型车,客(20-39座)
239,云南,04,客车4型车,(40座以上,含40座)
240,云南,05,货车11型车,(2吨以下   含2吨)
241,云南,06,货车12型车,(2吨-5吨   含5吨)
242,云南,07,货车13型车,(5吨-10吨  含10吨)
243,云南,08,货车14型车,(10吨-15吨 含15吨)
244,云南,09,货车15型车,(15吨以上)
245,陕西,01,客车1型车,7座以内（含7座）
246,陕西,02,客车2型车,8座-19座
247,陕西,03,客车3型车,20座-39座
248,陕西,04,客车4型车,40座以上
249,陕西,05,货车1型车,小于2吨（含2吨）
250,陕西,06,货车2型车,2吨-5吨（含5吨）
251,陕西,07,货车3型车,5吨-10吨（含10吨）
252,陕西,08,货车4型车,10-15吨（含15吨）、20英尺集装箱车
253,陕西,09,货车5型车,15吨以上、40英尺集装箱车
254,甘肃,01,客车1型车,(7座以下,含7座)
255,甘肃,02,客车2型车,(8-19座)
256,甘肃,03,客车3型车,客(20-39座)
257,甘肃,04,客车4型车,(40座以上,含40座)
258,甘肃,05,货车1型车,(2吨以下   含2吨)
259,甘肃,06,货车2型车,(2吨-5吨   含5吨)
260,甘肃,07,货车3型车,(5吨-10吨  含10吨)
261,甘肃,08,货车4型车,(10吨-20吨 含20吨)
262,甘肃,09,货车5型车,(20吨以上)
263,青海,01,客车1型车,7座以下（含7座）的客车
264,青海,02,客车2型车,8座至19座的客车
265,青海,03,客车3型车,20座至39座的客车
266,青海,04,客车4型车,40座以上（含40座）的客车
267,青海,05,货车11型车,2吨以下（含2吨）
268,青海,06,货车12型车,2吨－5吨（含5吨）
269,青海,07,货车13型车,5吨－10吨（含10吨）
270,青海,08,货车14型车,10吨－15吨（含15吨）
271,青海,09,货车15型车,15吨以上
272,青海,10,其它21型车,三轮车/拖拉机 特殊的路段 收费
273,宁夏,01,客车1型车,7座以下（含7座）
274,宁夏,02,客车2型车,8-19座
275,宁夏,03,客车3型车,20-39座
276,宁夏,04,客车4型车,40座以上（含40座）
277,宁夏,05,客车5型车,备用车型
278,宁夏,06,货车11型车,2吨以下（含2吨）
279,宁夏,07,货车12型车,2吨－5吨（含5吨）
280,宁夏,08,货车13型车,5吨－10吨（含10吨）
281,宁夏,09,货车14型车,10吨－15吨（含15吨）
282,宁夏,10,货车15型车,15吨以上
283,宁夏,11,货车111型车,一型拖挂
284,宁夏,12,货车112型车,二型拖挂
285,宁夏,13,货车113型车,三型拖挂
286,宁夏,14,货车114型车,四型拖挂
287,宁夏,15,货车115型车,五型拖挂
